Clipper guard,0.6437,2.0676
Clipper guard,0.7354,2.1265
Clipper guard,0.7522,2.0889
Controller,0.6509,1.3153
Controller,0.6821,1.3624
Controller,0.6938,1.3702
Electric razor,0.6851,4.6794
Electric razor,0.7342,4.6508
Hook,0.4881,3.0403
Hook,0.4925,3.0144
Hook,0.4930,3.0217
Lighter,0.9660,11.1318
Lighter,0.9762,11.0252
Lighter,0.9808,11.3285
Pen,0.6923,8.8162
Pen,0.6932,8.9152
Pen,0.8169,11.4302
Pen,0.8305,11.8932
Pen,0.8490,10.8344
Remote controller,0.9223,4.0210
Remote controller,0.9372,3.9569
Remote controller,0.9495,3.9525
Scissors,0.2497,2.3506
Scissors,0.2526,2.3429
Scissors,0.2557,2.3742
Speaker,0.7243,1.1164
Speaker,0.7513,1.0889
Speaker,0.7515,1.0869
Tooth floss,0.9388,1.2920
Tooth floss,0.9420,1.2924
Tooth floss,0.9425,1.2941
Totem,0.6540,1.0196
Totem,0.6561,1.0441
Totem,0.6584,1.0686
Tweezers,0.5580,7.4327
Tweezers,0.5837,9.0348
Tweezers,0.6089,7.1280
Tweezers,0.6144,7.5140
Wallet,0.7567,1.1556
Wallet,0.9003,1.1712
Wallet,0.9617,1.1971
Tooth floss,0.8835,1.1510
Tooth floss,0.8853,1.1513
Totem,0.6938,1.1478
Speaker,0.7653,1.1848
Pen,0.7541,8.0043
Tweezers,0.6401,8.9396
Speaker,0.7682,1.2905
